CPI-All Urban Consumers (Current Series)														
Original Data Value														
														
Series Id:	CUSR0000SA0													
Seasonally Adjusted														
Series Title:	"All items in U.S. city average, all urban consumers, seasonally adjusted"													
Area:	U.S. city average													
Item:	All items													
Base Period:	1982-84=100													
Years:	1947 to 2019													
														
Year	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	HALF1	HALF2
2006	199.3	199.4	199.7	200.7	201.3	201.8	202.9	203.8	202.8	201.9	202	203.1		
2007	203.437	204.226	205.288	205.904	206.755	207.234	207.603	207.667	208.547	209.19	210.834	211.445		
2008	212.174	212.687	213.448	213.942	215.208	217.463	219.016	218.69	218.877	216.995	213.153	211.398		
2009	211.933	212.705	212.495	212.709	213.022	214.79	214.726	215.445	215.861	216.509	217.234	217.347		
2010	217.488	217.281	217.353	217.403	217.29	217.199	217.605	217.923	218.275	219.035	219.59	220.472		
2011	221.187	221.898	223.046	224.093	224.806	224.806	225.395	226.106	226.597	226.75	227.169	227.223		
2012	227.842	228.329	228.807	229.187	228.713	228.524	228.59	229.918	231.015	231.638	231.249	231.221		
2013	231.679	232.937	232.282	231.797	231.893	232.445	232.9	233.456	233.544	233.669	234.1	234.719		
2014	235.288	235.547	236.028	236.468	236.918	237.231	237.498	237.46	237.477	237.43	236.983	236.252		
2015	234.718	235.236	236.005	236.156	236.974	237.684	238.053	238.028	237.506	237.781	238.016	237.817		
2016	237.833	237.469	238.038	238.827	239.464	240.167	240.15	240.602	241.051	241.691	242.029	242.772		
2017	243.78	243.961	243.749	244.051	243.962	244.182	244.39	245.297	246.418	246.587	247.332	247.901		
2018	248.884	249.369	249.498	249.956	250.646	251.134	251.597	251.879	252.01	252.794	252.76	252.723		
2019	252.673	253.113												
